request_id,config_hash,invocation_count,generated_tokens_before_sample,forced_token_id,requested_forced_token_id,mask_count,masked_token_ids,entropy_before,entropy_after,entropy_target,entropy_error
paired-en-source-101-structural_only,98047aa09d4119bbb090047c8b28600dafe1d2efdabae32fc199c3b1265ad810,12,11,,,0,[],,,,
paired-en-source-101-logit_only,27843a1cdfe0b1b9265025465503f7196e0b6c21b8e51638e494f3c3c2a20f30,1,0,,,0,[],2.8207965442561544e-05,0.005724965129047632,3.0,2.9999717920345574
paired-en-source-101-logit_only,27843a1cdfe0b1b9265025465503f7196e0b6c21b8e51638e494f3c3c2a20f30,2,1,,,0,[],8.113809599308297e-05,0.015883004292845726,3.0,2.999918861904007
paired-en-source-101-logit_only,27843a1cdfe0b1b9265025465503f7196e0b6c21b8e51638e494f3c3c2a20f30,3,2,,,0,[],0.44011712074279785,0.6039802432060242,3.0,2.559882879257202
paired-en-source-101-logit_only,27843a1cdfe0b1b9265025465503f7196e0b6c21b8e51638e494f3c3c2a20f30,4,3,,,0,[],0.5488330721855164,0.8614425659179688,3.0,2.4511669278144836
paired-en-source-101-logit_only,27843a1cdfe0b1b9265025465503f7196e0b6c21b8e51638e494f3c3c2a20f30,5,4,,,0,[],0.009220436215400696,0.2119527906179428,3.0,2.9907795637845993
paired-en-source-101-logit_only,27843a1cdfe0b1b9265025465503f7196e0b6c21b8e51638e494f3c3c2a20f30,6,5,,,0,[],1.5068793572936556e-06,0.0015179916517809033,3.0,2.9999984931206427
paired-en-source-101-logit_only,27843a1cdfe0b1b9265025465503f7196e0b6c21b8e51638e494f3c3c2a20f30,7,6,,,0,[],0.033758167177438736,0.23398533463478088,3.0,2.9662418328225613
paired-en-source-101-logit_only,27843a1cdfe0b1b9265025465503f7196e0b6c21b8e51638e494f3c3c2a20f30,8,7,,,0,[],0.46363770961761475,0.7619882822036743,3.0,2.5363622903823853
paired-en-source-101-logit_only,27843a1cdfe0b1b9265025465503f7196e0b6c21b8e51638e494f3c3c2a20f30,9,8,,,0,[],0.2915492653846741,0.5477498769760132,3.0,2.708450734615326
paired-en-source-101-logit_only,27843a1cdfe0b1b9265025465503f7196e0b6c21b8e51638e494f3c3c2a20f30,10,9,,,0,[],0.10828505456447601,0.45055919885635376,3.0,2.891714945435524
paired-en-source-101-logit_only,27843a1cdfe0b1b9265025465503f7196e0b6c21b8e51638e494f3c3c2a20f30,11,10,,,0,[],1.8166509407890885e-09,6.349567411234602e-05,3.0,2.999999998183349
paired-en-source-101-logit_only,27843a1cdfe0b1b9265025465503f7196e0b6c21b8e51638e494f3c3c2a20f30,12,11,,,0,[],2.1868451938189537e-07,0.013334755785763264,3.0,2.9999997813154806
paired-en-source-101-full_supported,d4b51142c3006b217839ad6722d464badf44ac1159e8daf920e74b657e3aa2ef,1,0,,,2,"[76482, 92040]",5.753757363891054e-07,0.0009305588901042938,2.5,2.4999994246242636
paired-en-source-101-full_supported,d4b51142c3006b217839ad6722d464badf44ac1159e8daf920e74b657e3aa2ef,2,1,,,2,"[76482, 92040]",0.01053102221339941,0.13520726561546326,2.5,2.4894689777866006
paired-en-source-101-full_supported,d4b51142c3006b217839ad6722d464badf44ac1159e8daf920e74b657e3aa2ef,3,2,,,2,"[76482, 92040]",0.5029865503311157,0.6451312899589539,2.5,1.9970134496688843
paired-en-source-101-full_supported,d4b51142c3006b217839ad6722d464badf44ac1159e8daf920e74b657e3aa2ef,4,3,,,2,"[76482, 92040]",0.3296743929386139,0.6648149490356445,2.5,2.170325607061386
paired-en-source-101-full_supported,d4b51142c3006b217839ad6722d464badf44ac1159e8daf920e74b657e3aa2ef,5,4,,,2,"[76482, 92040]",0.814186155796051,1.3202619552612305,2.5,1.685813844203949
paired-en-source-101-full_supported,d4b51142c3006b217839ad6722d464badf44ac1159e8daf920e74b657e3aa2ef,6,5,,,2,"[76482, 92040]",9.645345016906504e-06,0.003998376429080963,4.0,3.999990354654983
paired-en-source-101-full_supported,d4b51142c3006b217839ad6722d464badf44ac1159e8daf920e74b657e3aa2ef,7,6,,,2,"[76482, 92040]",0.06207389011979103,0.2832784652709961,4.0,3.937926109880209
paired-en-source-101-full_supported,d4b51142c3006b217839ad6722d464badf44ac1159e8daf920e74b657e3aa2ef,8,7,,,2,"[76482, 92040]",0.5246463418006897,0.9436717629432678,4.0,3.4753536581993103
paired-en-source-101-full_supported,d4b51142c3006b217839ad6722d464badf44ac1159e8daf920e74b657e3aa2ef,9,8,,,2,"[76482, 92040]",0.09216960519552231,0.3752257823944092,4.0,3.9078303948044777
