request_id,scheduler_request_id,config_hash,invocation_count,generated_tokens_before_sample,forced_token_id,requested_forced_token_id,mask_count,masked_token_ids
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,36,35,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,37,36,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,38,37,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,39,38,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,40,39,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,41,40,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,42,41,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,43,42,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,44,43,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,45,44,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,46,45,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,47,46,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,48,47,9702,9702,151935,[]
RA-CANCEL-STREAM,nram-scheduler-17e6e86e1ea64e559177c6a451326dbb,2c2129f93af5c3825297b0ae83436db5595a9605b370f9e68f1c5155b54c5c9d,49,48,9702,9702,151935,[]
