container_log_prefix,request_id,scheduler_request_id,config_hash,invocation_count,generated_tokens_before_sample,requested_forced_token_id,forced_token_id,mask_count,hard_injection_blocked_by_mask,changed_count,soft_injection_count,vector_count,entropy_pid_present
2026-07-28T03:42:33.543437143Z,FINAL-VAL-114,nram-scheduler-5f41113d75c34fa39aa28f07a44c83fb,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
2026-07-28T03:42:33.613429033Z,FINAL-VAL-118,nram-scheduler-5a2909a3e003437999d6829d5404bed1,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
2026-07-28T03:42:33.699943580Z,FINAL-VAL-123,nram-scheduler-3359d095fce34147afdc28bbc1506a60,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
2026-07-28T03:42:33.756315941Z,FINAL-VAL-128,nram-scheduler-1c72f39256394b9d9f672eb82afe0442,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
2026-07-28T03:42:33.823124244Z,FINAL-VAL-129,nram-scheduler-6258078a1fb44157a6cf476d9cee406a,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
2026-07-28T03:42:33.930716793Z,FINAL-VAL-133,nram-scheduler-6f955aa211ae4d3dac8a44db4a3b0d03,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
2026-07-28T03:42:33.993403861Z,FINAL-VAL-134,nram-scheduler-ecb01018240a45d7a17db3d4c5401fcc,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
2026-07-28T03:42:34.046852859Z,FINAL-VAL-138,nram-scheduler-993c604769944adf885f2b43809bb8e9,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
2026-07-28T03:42:34.093420555Z,FINAL-VAL-139,nram-scheduler-fa4ebcc948f646a3903ab0cee40a32ba,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
2026-07-28T03:42:34.145936172Z,FINAL-VAL-143,nram-scheduler-c044819f6a1442958533c2e8384fde1d,1e2cc745843a13cba0bb940a5a13706c50ca2cb863c9b9c03ce9f8c8c2ba37bb,1,0,,,0,False,0,0,0,False
